date_time,subject,subject_count
08/06/2017 22:10," ""strong and stable"" OR #strongandstable",54
08/06/2017 22:11, BBC Coverage,142
08/06/2017 22:11, Conservative Seats,41
08/06/2017 22:11, ITV Coverage,12
08/06/2017 22:11, Labour Seats,109
08/06/2017 22:11, SNP Seats,1
08/06/2017 22:11," ""coalitionofchaos"" OR #coalitionofchaos",2
08/06/2017 22:11," ""exit poll"" OR #exitpoll",1752
08/06/2017 22:11," ""for the many"" OR #forthemany",28
08/06/2017 22:11," ""hung parliament"" OR #hungparliament",324
08/06/2017 22:11," ""strong and stable"" OR #strongandstable",50
08/06/2017 22:12, BBC Coverage,109
08/06/2017 22:12, Conservative Seats,53
08/06/2017 22:12, ITV Coverage,8
08/06/2017 22:12, Labour Seats,107
08/06/2017 22:12," ""coalitionofchaos"" OR #coalitionofchaos",2
08/06/2017 22:12," ""exit poll"" OR #exitpoll",1659
08/06/2017 22:12," ""for the many"" OR #forthemany",25
08/06/2017 22:12," ""hung parliament"" OR #hungparliament",306
08/06/2017 22:12," ""strong and stable"" OR #strongandstable",61
08/06/2017 22:13, BBC Coverage,124
08/06/2017 22:13, Conservative Seats,48
08/06/2017 22:13, ITV Coverage,12
08/06/2017 22:13, Labour Seats,94
08/06/2017 22:13," ""coalitionofchaos"" OR #coalitionofchaos",4
08/06/2017 22:13," ""exit poll"" OR #exitpoll",1793
08/06/2017 22:13," ""for the many"" OR #forthemany",25
08/06/2017 22:13," ""hung parliament"" OR #hungparliament",310
08/06/2017 22:13," ""strong and stable"" OR #strongandstable",58
08/06/2017 22:14, BBC Coverage,119
08/06/2017 22:14, Conservative Seats,45
08/06/2017 22:14, ITV Coverage,12
08/06/2017 22:14, Labour Seats,56
08/06/2017 22:14, SNP Seats,2
08/06/2017 22:14," ""coalitionofchaos"" OR #coalitionofchaos",2
08/06/2017 22:14," ""exit poll"" OR #exitpoll",1829
08/06/2017 22:14," ""for the many"" OR #forthemany",28
08/06/2017 22:14," ""hung parliament"" OR #hungparliament",286
08/06/2017 22:14," ""strong and stable"" OR #strongandstable",51
08/06/2017 22:15, BBC Coverage,122
08/06/2017 22:15, Conservative Seats,34
